iter	Passed	Remaining
0	63	24505
1	71	13631
2	79	10095
3	86	8222
4	94	7177
5	102	6426
6	109	5881
7	116	5480
8	124	5178
9	132	4960
10	140	4765
11	148	4613
12	156	4459
13	163	4310
14	171	4221
15	179	4117
16	186	4031
17	194	3953
18	203	3907
19	210	3839
20	218	3772
21	227	3736
22	235	3701
23	245	3677
24	253	3647
25	263	3625
26	271	3589
27	279	3557
28	287	3522
29	295	3488
30	303	3461
31	311	3431
32	320	3406
33	328	3378
34	336	3350
35	343	3322
36	351	3296
37	358	3265
38	366	3241
39	374	3222
40	381	3193
41	389	3169
42	397	3151
43	405	3130
44	412	3109
45	420	3090
46	427	3068
47	435	3051
48	443	3033
49	450	3011
50	458	2993
51	466	2978
52	474	2961
53	482	2945
54	489	2928
55	497	2914
56	505	2897
57	513	2883
58	521	2872
59	529	2860
60	537	2846
61	544	2830
62	552	2815
63	560	2800
64	568	2789
65	575	2774
66	584	2763
67	592	2755
68	600	2740
69	607	2727
70	615	2713
71	622	2696
72	628	2679
73	636	2664
74	643	2649
75	649	2632
76	656	2618
77	663	2604
78	670	2589
79	677	2573
80	684	2560
81	691	2545
82	697	2530
83	704	2515
84	711	2501
85	717	2487
86	724	2474
87	731	2461
88	738	2447
89	745	2436
90	751	2420
91	758	2408
92	765	2395
93	771	2378
94	777	2365
95	784	2353
96	790	2339
97	797	2327
98	803	2313
99	810	2302
100	818	2293
101	824	2280
102	831	2268
103	838	2257
104	844	2244
105	851	2234
106	858	2222
107	865	2211
108	872	2200
109	878	2188
110	884	2176
111	891	2165
112	898	2154
113	905	2144
114	912	2133
115	918	2122
116	925	2112
117	931	2100
118	938	2089
119	944	2078
120	951	2067
121	957	2056
122	964	2046
123	971	2036
124	977	2026
125	984	2015
126	991	2006
127	998	1996
128	1004	1986
129	1011	1976
130	1018	1966
131	1025	1957
132	1031	1946
133	1038	1937
134	1045	1928
135	1052	1919
136	1058	1908
137	1065	1899
138	1071	1888
139	1077	1878
140	1083	1868
141	1090	1858
142	1096	1848
143	1103	1838
144	1110	1830
145	1116	1820
146	1123	1811
147	1130	1802
148	1137	1793
149	1143	1784
150	1149	1774
151	1156	1764
152	1162	1755
153	1168	1745
154	1175	1736
155	1182	1728
156	1189	1719
157	1196	1710
158	1202	1701
159	1209	1693
160	1216	1684
161	1223	1676
162	1229	1667
163	1236	1658
164	1242	1649
165	1249	1640
166	1255	1631
167	1262	1622
168	1269	1614
169	1275	1606
170	1282	1597
171	1289	1589
172	1296	1580
173	1303	1572
174	1310	1564
175	1314	1553
176	1320	1543
177	1326	1534
178	1333	1526
179	1339	1518
180	1346	1510
181	1354	1502
182	1360	1494
183	1367	1486
184	1374	1478
185	1380	1469
186	1387	1462
187	1394	1454
188	1401	1446
189	1407	1437
190	1413	1428
191	1420	1420
192	1427	1412
193	1434	1404
194	1440	1396
195	1447	1388
196	1454	1380
197	1460	1372
198	1467	1364
199	1474	1356
200	1481	1348
201	1487	1340
202	1494	1332
203	1501	1324
204	1508	1316
205	1514	1308
206	1521	1301
207	1528	1292
208	1535	1285
209	1541	1277
210	1548	1269
211	1555	1261
212	1562	1254
213	1569	1246
214	1575	1238
215	1583	1231
216	1589	1223
217	1595	1215
218	1602	1207
219	1608	1199
220	1614	1191
221	1620	1182
222	1628	1175
223	1635	1168
224	1641	1160
225	1648	1152
226	1655	1145
227	1662	1137
228	1669	1129
229	1676	1122
230	1682	1114
231	1689	1106
232	1695	1098
233	1702	1091
234	1709	1083
235	1717	1076
236	1723	1068
237	1729	1061
238	1736	1053
239	1743	1046
240	1750	1038
241	1756	1030
242	1763	1023
243	1770	1015
244	1776	1008
245	1784	1000
246	1790	993
247	1797	985
248	1804	978
249	1811	971
250	1818	963
251	1825	956
252	1832	948
253	1839	941
254	1845	933
255	1852	926
256	1858	918
257	1864	910
258	1871	903
259	1877	895
260	1884	888
261	1890	880
262	1897	872
263	1902	864
264	1909	857
265	1916	850
266	1923	842
267	1931	835
268	1938	828
269	1945	821
270	1951	813
271	1959	806
272	1966	799
273	1973	792
274	1980	785
275	1987	777
276	1994	770
277	2002	763
278	2009	756
279	2017	749
280	2024	742
281	2031	734
282	2038	727
283	2045	720
284	2052	712
285	2059	705
286	2066	698
287	2073	691
288	2080	683
289	2087	676
290	2094	669
291	2101	662
292	2108	654
293	2114	647
294	2121	639
295	2127	632
296	2134	625
297	2140	617
298	2147	610
299	2153	603
300	2160	595
301	2167	588
302	2172	580
303	2178	573
304	2184	565
305	2189	558
306	2194	550
307	2200	542
308	2205	535
309	2210	527
310	2215	519
311	2220	512
312	2225	504
313	2231	497
314	2236	489
315	2242	482
316	2247	474
317	2252	467
318	2257	460
319	2262	452
