iter	Logloss
0	0.6313838395
1	0.5832780291
2	0.5368745908
3	0.5032291762
4	0.4675995095
5	0.4378432001
6	0.4164461864
7	0.3917549533
8	0.3742671031
9	0.3565328087
10	0.3423146989
11	0.3289591809
12	0.3179618416
13	0.3083719326
14	0.2997184303
15	0.2940036421
16	0.2872234362
17	0.2820707742
18	0.2772370531
19	0.2724002049
20	0.2682480109
21	0.2646966667
22	0.2618564168
23	0.2594033102
24	0.2564763249
25	0.254393077
26	0.2523883347
27	0.2501821533
28	0.248595105
29	0.2474151519
30	0.2460349597
31	0.2448075685
32	0.243289679
33	0.2417948162
34	0.2407969912
35	0.2395031171
36	0.2378876275
37	0.236907659
38	0.2363592777
39	0.235318902
40	0.234731477
41	0.2341652517
42	0.2335997244
43	0.2330461451
44	0.2323862435
45	0.2317007861
46	0.2313105468
47	0.2307772903
48	0.2304038988
49	0.2298584787
50	0.2292958577
51	0.2288867446
52	0.2283541026
53	0.2278209222
54	0.2274412188
55	0.2269373517
56	0.2266690001
57	0.2261596269
58	0.2258802015
59	0.2252088825
60	0.2249757896
61	0.2242107985
62	0.2239366935
63	0.2236677877
64	0.2230818611
65	0.2228501156
66	0.2225962893
67	0.2220671936
68	0.221804734
69	0.2215073953
70	0.2213037784
71	0.2211816461
72	0.2208747119
73	0.2204964194
74	0.2203076613
75	0.2201142262
76	0.2198096204
77	0.219446876
78	0.2192186214
79	0.2190254341
80	0.21886071
81	0.2187006097
82	0.2185470563
83	0.2180097959
84	0.2175609989
85	0.2173853786
86	0.2171956151
87	0.2170835097
88	0.2169242849
89	0.2168377938
90	0.2164601076
91	0.2162375729
92	0.2160905487
93	0.215969484
94	0.21580755
95	0.2155860334
96	0.2154341849
97	0.2150977711
98	0.2150154781
99	0.2149053554
100	0.2146829368
101	0.2144895598
102	0.2143249238
103	0.2141419286
104	0.2139766762
105	0.2139154747
106	0.2135362813
107	0.2133966819
108	0.2132336419
109	0.2130633491
110	0.2129142683
111	0.2127410568
112	0.2126459678
113	0.2125379746
114	0.2123551373
115	0.2122466617
116	0.2119691172
117	0.2118839012
118	0.2118119814
119	0.2116608546
120	0.2115642956
121	0.2114429398
122	0.2113440225
123	0.2111545198
124	0.2110386174
125	0.2109580867
126	0.2108618164
127	0.2106890331
128	0.2105234333
129	0.2104012498
130	0.2102442595
131	0.2101618773
132	0.2100835591
133	0.2099622736
134	0.2097834007
135	0.2096972729
136	0.2094792223
137	0.2094187709
138	0.2092840236
139	0.2091852571
140	0.2090942934
141	0.2089562401
142	0.2088823324
143	0.2087673367
144	0.2086982204
145	0.2086171809
146	0.2085495737
147	0.2084796581
148	0.2083758368
149	0.2081960685
150	0.2081593528
151	0.2080813141
152	0.2080327405
153	0.2079635482
154	0.2078673651
155	0.2077302026
156	0.2076301794
157	0.2075660943
158	0.2075053666
159	0.2074364642
160	0.2073455057
161	0.2073051962
162	0.2072036932
163	0.2071335099
164	0.2070399411
165	0.2068874071
166	0.2068413418
167	0.2067650754
168	0.206687385
169	0.2065397059
170	0.2064870887
171	0.2063876639
172	0.2063160266
173	0.2062462743
174	0.2061667098
175	0.2060659694
176	0.2060033407
177	0.2059336627
178	0.2058640609
179	0.2057975754
180	0.2057696672
181	0.2057256282
182	0.2056634501
183	0.2056032994
184	0.2055439135
185	0.2054557543
186	0.205393791
187	0.2053451621
188	0.2052929515
189	0.2052265915
190	0.2051223548
191	0.2050070421
192	0.2049628328
193	0.2049199783
194	0.2048536819
195	0.2047139553
196	0.2046297206
197	0.2045689647
198	0.2044191712
199	0.2043661215
200	0.204298512
201	0.2042492964
202	0.2041348924
203	0.2040580669
204	0.2039882265
205	0.2039235662
206	0.2038615959
207	0.2038240818
208	0.2037881102
209	0.2037470617
210	0.2036733726
211	0.2036391852
212	0.2035551757
213	0.2035126055
214	0.2034698829
215	0.2033536232
216	0.2033231318
217	0.2032676353
218	0.2032261423
219	0.2031642019
220	0.2031331841
221	0.2030490434
222	0.2030231103
223	0.2029942297
224	0.2029317438
225	0.2028699766
226	0.2028259165
227	0.2027607117
228	0.2027370264
229	0.2027053881
230	0.2026286915
231	0.202540735
232	0.2024840312
233	0.2024249786
234	0.2023489883
235	0.2022143053
236	0.2021829305
237	0.2020497251
238	0.2019791002
239	0.2019266457
240	0.2018697239
241	0.2017907554
242	0.2017390165
243	0.2016769773
244	0.2016237757
245	0.2015705296
246	0.2015372618
247	0.2014711857
248	0.2013072292
249	0.2011853772
250	0.2011271197
251	0.2010775599
252	0.2010215739
253	0.2009456194
254	0.2008922411
255	0.200844735
256	0.200789368
257	0.2006813462
258	0.2005891958
259	0.2005420091
260	0.2005123306
261	0.2004225655
262	0.2003571647
263	0.2003374946
264	0.200269523
265	0.2001815596
266	0.2001317899
267	0.2001056549
268	0.2000390397
269	0.1999758539
270	0.1999623592
271	0.1998864672
272	0.1998404274
273	0.1997918001
274	0.1997875387
275	0.1997365469
276	0.1997096856
277	0.199641704
278	0.1995946478
279	0.1995762731
280	0.1995145917
281	0.1994439582
282	0.199440014
283	0.1993843898
284	0.1993370794
285	0.199287557
286	0.199251889
287	0.1991950692
288	0.1990788221
289	0.1990093109
290	0.1989469816
291	0.1989036568
292	0.1988768732
293	0.1988380616
294	0.1987903482
295	0.1987306662
296	0.1986951011
297	0.1986611259
298	0.1985506844
299	0.1984181266
300	0.1984009623
301	0.198340824
302	0.1982995716
303	0.1982960794
304	0.1982337468
305	0.1981623718
306	0.1980842442
307	0.1980328067
308	0.1979982473
309	0.1979432161
310	0.1979030064
311	0.1978457016
312	0.1977528877
313	0.1977065254
314	0.1977032697
315	0.1976290847
316	0.197549552
317	0.1975076284
318	0.1974667778
319	0.1974636369
320	0.1974261362
321	0.1973724818
322	0.1973351092
323	0.1972937535
324	0.197210184
325	0.1972071827
326	0.1971703092
327	0.1971040944
328	0.1970515388
329	0.1969690151
330	0.1968944966
331	0.1968418813
332	0.1968013105
333	0.1967464663
334	0.1967156765
335	0.1966839435
336	0.1966290873
337	0.1965334185
338	0.1964973615
339	0.1964497362
340	0.1963757801
341	0.1963136915
342	0.1962725758
343	0.1962580886
344	0.1962245584
345	0.1961587315
346	0.1961202934
347	0.1960733032
348	0.1960419431
349	0.1959428343
350	0.1958934607
351	0.1958603795
352	0.1958576407
353	0.1958034117
354	0.1957352031
355	0.1956987586
356	0.195648605
357	0.1955820632
358	0.1955432941
359	0.1954943076
360	0.1954614041
361	0.195428925
362	0.195359352
363	0.1953196295
364	0.1952598594
365	0.1952283064
366	0.1952146035
367	0.1951668065
368	0.1951051212
369	0.1950522274
370	0.1950120006
371	0.1949618519
372	0.1949387546
373	0.19487494
374	0.1948088378
375	0.1947550034
376	0.1947164809
377	0.1946647432
378	0.1945898087
379	0.1945302504
380	0.1944990432
381	0.1944393406
382	0.1944357812
