iter	Passed	Remaining
0	74	30873
1	88	18098
2	108	14871
3	140	14324
4	148	12149
5	158	10725
6	170	9865
7	183	9298
8	194	8740
9	210	8478
10	223	8156
11	235	7863
12	246	7589
13	258	7376
14	274	7283
15	288	7154
16	303	7066
17	315	6929
18	330	6852
19	349	6873
20	361	6750
21	373	6639
22	379	6439
23	387	6275
24	398	6182
25	406	6044
26	414	5923
27	422	5809
28	428	5680
29	434	5552
30	440	5432
31	446	5320
32	452	5211
33	458	5114
34	464	5012
35	469	4918
36	476	4838
37	482	4758
38	488	4683
39	494	4611
40	502	4556
41	509	4498
42	516	4443
43	521	4377
44	527	4316
45	533	4256
46	539	4198
47	546	4157
48	552	4103
49	558	4054
50	564	4004
51	570	3958
52	576	3916
53	582	3870
54	588	3827
55	593	3782
56	598	3740
57	605	3706
58	611	3667
59	617	3630
60	622	3593
61	628	3556
62	633	3521
63	640	3495
64	647	3465
65	653	3434
66	659	3404
67	664	3373
68	671	3349
69	677	3321
70	683	3293
71	689	3263
72	696	3241
73	705	3231
74	713	3213
75	723	3208
76	732	3195
77	741	3183
78	750	3173
79	761	3169
80	771	3163
81	778	3142
82	819	3258
83	830	3252
84	841	3247
85	848	3227
86	868	3253
87	879	3248
88	893	3251
89	914	3281
90	936	3312
91	956	3338
92	968	3330
93	982	3333
94	989	3310
95	1007	3325
96	1014	3306
97	1023	3289
98	1041	3301
99	1071	3355
100	1101	3403
101	1111	3389
102	1121	3375
103	1130	3358
104	1147	3364
105	1156	3348
106	1186	3392
107	1206	3407
108	1216	3393
109	1226	3377
110	1256	3418
111	1277	3432
112	1293	3433
113	1302	3415
114	1312	3400
115	1339	3430
116	1360	3441
117	1369	3424
118	1394	3445
119	1414	3453
120	1435	3465
121	1446	3450
122	1459	3441
123	1473	3434
124	1510	3479
125	1525	3475
126	1556	3504
127	1565	3485
128	1573	3465
129	1593	3469
130	1606	3458
131	1615	3438
132	1626	3423
133	1635	3405
134	1644	3386
135	1657	3375
136	1668	3361
137	1688	3364
138	1708	3368
139	1717	3349
140	1731	3340
141	1740	3322
142	1777	3355
143	1797	3357
144	1839	3399
145	1848	3380
146	1858	3363
147	1864	3339
148	1871	3316
149	1878	3294
150	1885	3272
151	1904	3271
152	1914	3252
153	1922	3234
154	1931	3215
155	1941	3198
156	1959	3195
157	1968	3177
158	1976	3157
159	1985	3139
160	1993	3119
161	2001	3100
162	2014	3089
163	2027	3078
164	2035	3060
165	2048	3048
166	2059	3033
167	2067	3014
168	2076	2997
169	2083	2977
170	2093	2962
171	2120	2971
172	2139	2967
173	2152	2957
174	2162	2941
175	2175	2929
176	2193	2924
177	2205	2911
178	2216	2897
179	2234	2892
180	2245	2878
181	2255	2862
182	2272	2856
183	2289	2849
184	2310	2847
185	2330	2843
186	2349	2839
187	2363	2828
188	2379	2820
189	2394	2810
190	2408	2799
191	2425	2791
192	2444	2786
193	2462	2779
194	2475	2767
195	2486	2753
